model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0,sample_size_label,base_nodes,u_frac,seed,total_nodes,nonlinear_pattern,regime,DIR_dist,Statistical_Parity_Diff_(ATE)_clip,Equal_Opportunity_Diff_clip,DIR_dist_clip,DOFS,DOFS_predictive,DOFS_fairness,Statistical_Parity_Diff_wrt_U,Disparate_Impact_Ratio_wrt_U,Equal_Opportunity_Diff_wrt_U
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_0_8_nodes_full_data.csv,3,6,5,10000,0.7795,0.7097,0.7686,0.6,0.6739,0.6,7.6493,0.5585,0.6903,0.0902,Large,10,0.5,0,8,Linear_ReLU_50%,Synthetic (SF),0.8692690834455441,0.6,0.5585,0.8692690834455441,0.5534429329842379,0.7021472772153322,0.3379610657080205,0.3153,2.3924,0.0054
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_1_8_nodes_full_data.csv,3,6,5,10000,0.8383,0.7638,0.7665,0.7587,0.7626,0.5648,3.6336,0.5316,0.7793,0.2145,Large,10,0.5,1,8,Linear_ReLU_50%,Synthetic (SF),0.7247908410391898,0.5648,0.5316,0.7247908410391898,0.6149743853792874,0.7765171476392847,0.39603255500805834,0.5332,0.2834,0.4538
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_2_8_nodes_full_data.csv,3,6,5,10000,0.9752,0.9149,0.9332,0.8938,0.9131,0.3897,2.3709,0.0935,0.674,0.2843,Large,10,0.5,2,8,Linear_ReLU_50%,Synthetic (SF),0.5782192416381964,0.3897,0.0935,0.5782192416381964,0.7664138691200761,0.9214928287285123,0.6247660030119594,0.6227,40.8507,0.8938
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_3_8_nodes_full_data.csv,3,6,5,10000,0.9753,0.9179,0.9187,0.9169,0.9178,0.6178,0.2368,0.0615,0.1917,0.8095,Large,10,0.5,3,8,Linear_ReLU_50%,Synthetic (SF),0.7632,0.6178,0.0615,0.7632,0.6996799123965624,0.925963916757406,0.5140295006268722,0.6695,0.166,0.083
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_4_8_nodes_full_data.csv,3,6,5,10000,0.946,0.8854,0.9383,0.8251,0.8781,0.0037,1.0086,0.0084,0.4415,0.4378,Large,10,0.5,4,8,Linear_ReLU_50%,Synthetic (SF),0.008526670632559963,0.0037,0.0084,0.008526670632559963,0.9116497015271543,0.8868409872550272,0.9927694828779753,0.6303,0.1647,0.4914
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_5_8_nodes_full_data.csv,3,6,5,10000,0.9688,0.9044,0.9084,0.8996,0.904,0.5053,0.3248,0.051,0.2431,0.7484,Large,10,0.5,5,8,Linear_ReLU_50%,Synthetic (SF),0.6752,0.5053,0.051,0.6752,0.7293633236291636,0.9134294838326517,0.5696591549974724,0.6892,0.0569,0.0236
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_6_8_nodes_full_data.csv,3,6,5,10000,0.6147,0.578,0.5776,0.5807,0.5791,0.068,1.1451,0.1101,0.5366,0.4686,Large,10,0.5,6,8,Linear_ReLU_50%,Synthetic (SF),0.1267138241201642,0.068,0.1101,0.1267138241201642,0.6831661424986057,0.5859467420042921,0.8957776877116687,0.3227,1.9431,0.3658
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_7_8_nodes_full_data.csv,3,6,5,10000,0.9367,0.8786,0.897,0.8553,0.8757,0.4792,3.013,0.111,0.7172,0.238,Large,10,0.5,7,8,Linear_ReLU_50%,Synthetic (SF),0.6681048788582808,0.4792,0.111,0.6681048788582808,0.7227440679635136,0.8857615229454064,0.5661066198054,0.5609,3.7308,0.1749
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_8_8_nodes_full_data.csv,3,6,5,10000,0.8752,0.786,0.7553,0.8462,0.7982,0.1259,1.2532,0.1274,0.6233,0.4973,Large,10,0.5,8,8,Linear_ReLU_50%,Synthetic (SF),0.20204277050750086,0.1259,0.1274,0.20204277050750086,0.8214172615028823,0.8084691692772251,0.8448649650729027,0.519,2.67,0.2532
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_0p5_seed_9_8_nodes_full_data.csv,3,6,5,10000,0.9459,0.8724,0.9,0.838,0.8679,0.0199,0.9582,0.0401,0.4556,0.4755,Large,10,0.5,9,8,Linear_ReLU_50%,Synthetic (SF),0.04179999999999995,0.0199,0.0401,0.04179999999999995,0.9035125844408237,0.8800100012767068,0.9646909493301272,0.071,1.1702,0.0765
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_0_8_nodes_full_data.csv,3,6,10,10000,0.6465,0.5967,0.6111,0.5318,0.5687,0.0202,1.0475,0.016,0.4452,0.4251,Large,10,1.0,0,8,Linear_ReLU_50%,Synthetic (SF),0.04534606205250602,0.0202,0.016,0.04534606205250602,0.6996101108639659,0.5903977711579333,0.9699779763917968,0.1874,0.6485,0.0924
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_1_8_nodes_full_data.csv,3,6,10,10000,0.9148,0.8343,0.8646,0.7929,0.8272,0.1956,0.648,0.1619,0.3602,0.5558,Large,10,1.0,1,8,Linear_ReLU_50%,Synthetic (SF),0.352,0.1956,0.1619,0.352,0.8051259037076841,0.842385351029485,0.7539838140356832,0.5913,0.1215,0.0071
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_2_8_nodes_full_data.csv,3,6,10,10000,0.8925,0.8292,0.8505,0.7989,0.8239,0.1375,0.7443,0.0452,0.4004,0.538,Large,10,1.0,2,8,Linear_ReLU_50%,Synthetic (SF),0.25570000000000004,0.1375,0.0452,0.25570000000000004,0.835939060721537,0.8365599595093318,0.8349562948705807,0.511,3.7966,0.1495
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_3_8_nodes_full_data.csv,3,6,10,10000,0.9312,0.8498,0.8605,0.8349,0.8475,0.0054,1.0112,0.1404,0.4878,0.4824,Large,10,1.0,3,8,Linear_ReLU_50%,Synthetic (SF),0.011075949367088667,0.0054,0.1404,0.011075949367088667,0.8812539315831043,0.8612083470842726,0.9210849038895946,0.6608,0.2647,0.2682
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_4_8_nodes_full_data.csv,3,6,10,10000,0.9936,0.9582,0.9617,0.9544,0.9581,0.1051,1.2369,0.0091,0.5488,0.4437,Large,10,1.0,4,8,Linear_ReLU_50%,Synthetic (SF),0.19152720510954813,0.1051,0.0091,0.19152720510954813,0.9191484964429337,0.9624547731105013,0.8771265810263613,0.832,0.1032,0.1635
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_5_8_nodes_full_data.csv,3,6,10,10000,0.7705,0.6956,0.7025,0.6784,0.6903,0.3257,2.019,0.0681,0.6452,0.3196,Large,10,1.0,5,8,Linear_ReLU_50%,Synthetic (SF),0.5047052996532937,0.3257,0.0681,0.5047052996532937,0.6931777207763528,0.7064082743818497,0.6744448746176518,0.3961,0.4219,0.3092
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_6_8_nodes_full_data.csv,3,6,10,10000,0.8297,0.7521,0.7497,0.7569,0.7533,0.0773,1.1659,0.0357,0.5434,0.4661,Large,10,1.0,6,8,Linear_ReLU_50%,Synthetic (SF),0.1422935071618492,0.0773,0.0357,0.1422935071618492,0.8101519540479291,0.7669233885530905,0.9053684592693564,0.2783,0.58,0.0178
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_7_8_nodes_full_data.csv,3,6,10,10000,0.969,0.9073,0.9309,0.88,0.9047,0.0334,1.0732,0.075,0.4893,0.4559,Large,10,1.0,7,8,Linear_ReLU_50%,Synthetic (SF),0.06820723071188961,0.0334,0.075,0.06820723071188961,0.9220250268022867,0.9135430201553181,0.9385555180189381,0.6971,0.2137,0.2235
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_8_8_nodes_full_data.csv,3,6,10,10000,0.834,0.7508,0.7729,0.7102,0.7402,0.0385,1.0875,0.058,0.4786,0.4401,Large,10,1.0,8,8,Linear_ReLU_50%,Synthetic (SF),0.08045977011494243,0.0385,0.058,0.08045977011494243,0.8105639706207329,0.7591772224845476,0.9387315895364428,0.5337,4.5589,0.5868
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_1p0_seed_9_8_nodes_full_data.csv,3,6,10,10000,0.954,0.8749,0.8759,0.8736,0.8747,0.0778,0.8553,0.1498,0.4597,0.5374,Large,10,1.0,9,8,Linear_ReLU_50%,Synthetic (SF),0.14470000000000005,0.0778,0.1498,0.14470000000000005,0.881104457614705,0.8866933100643637,0.8722602382810716,0.5325,0.2584,0.0559
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_0_8_nodes_full_data.csv,3,6,20,10000,0.7449,0.6742,0.6525,0.7453,0.6959,0.0382,1.0691,0.0126,0.5903,0.5521,Large,10,2.0,0,8,Linear_ReLU_50%,Synthetic (SF),0.06463380413431852,0.0382,0.0126,0.06463380413431852,0.772537422913824,0.7012186716022338,0.9562967865704157,0.0116,0.9798,0.0388
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_1_8_nodes_full_data.csv,3,6,20,10000,0.6948,0.6474,0.6692,0.5831,0.6232,0.626,0.1631,0.6097,0.122,0.7481,Large,10,2.0,1,8,Linear_ReLU_50%,Synthetic (SF),0.8369,0.626,0.6097,0.8369,0.5161261061626695,0.642624377232113,0.3181758592629993,0.4593,2.5036,0.4057
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_2_8_nodes_full_data.csv,3,6,20,10000,0.8031,0.7426,0.7638,0.7022,0.7317,0.1684,0.6903,0.1778,0.3753,0.5437,Large,10,2.0,2,8,Linear_ReLU_50%,Synthetic (SF),0.3097,0.1684,0.1778,0.3097,0.7573894418702001,0.7471916118877934,0.7747463408548843,0.1729,1.4777,0.2148
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_3_8_nodes_full_data.csv,3,6,20,10000,0.9053,0.8217,0.8472,0.7849,0.8149,0.0398,1.0897,0.0766,0.4831,0.4433,Large,10,2.0,3,8,Linear_ReLU_50%,Synthetic (SF),0.08231623382582354,0.0398,0.0766,0.08231623382582354,0.8611373889249762,0.830910385388937,0.9313275060206233,0.2103,0.6356,0.0482
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_4_8_nodes_full_data.csv,3,6,20,10000,0.9897,0.9423,0.9508,0.9329,0.9418,0.0811,0.8474,0.0882,0.4502,0.5312,Large,10,2.0,4,8,Linear_ReLU_50%,Synthetic (SF),0.15259999999999996,0.0811,0.0882,0.15259999999999996,0.9206755758306989,0.9477840268962611,0.8885734219831657,0.7802,0.2116,0.2072
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_5_8_nodes_full_data.csv,3,6,20,10000,0.9909,0.9487,0.9631,0.9331,0.9479,0.0945,1.2159,0.0668,0.532,0.4375,Large,10,2.0,5,8,Linear_ReLU_50%,Synthetic (SF),0.17756394440332268,0.0945,0.0668,0.17756394440332268,0.9174809543472181,0.9527401479823654,0.8789232086061443,0.697,0.0245,0.3165
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_6_8_nodes_full_data.csv,3,6,20,10000,0.7149,0.6562,0.6445,0.6967,0.6696,0.1133,1.2343,0.0103,0.5971,0.4838,Large,10,2.0,6,8,Linear_ReLU_50%,Synthetic (SF),0.18982419184963129,0.1133,0.0103,0.18982419184963129,0.7409644103797265,0.6758394019571446,0.8755048112805439,0.2013,0.6975,0.0061
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_7_8_nodes_full_data.csv,3,6,20,10000,0.9777,0.9222,0.936,0.9064,0.921,0.0424,1.0917,0.0661,0.5054,0.463,Large,10,2.0,7,8,Linear_ReLU_50%,Synthetic (SF),0.08399743519281844,0.0424,0.0661,0.08399743519281844,0.9305595623257292,0.9287066155621573,0.9337684192560853,0.7388,0.2583,0.2355
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_8_8_nodes_full_data.csv,3,6,20,10000,0.8426,0.7652,0.8038,0.7018,0.7493,0.147,1.4047,0.169,0.5101,0.3632,Large,10,2.0,8,8,Linear_ReLU_50%,Synthetic (SF),0.28810422154196624,0.147,0.169,0.28810422154196624,0.7774187379944283,0.7690425002480498,0.7917494810009479,0.2953,2.2637,0.2644
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_9_8_nodes_full_data.csv,3,6,20,10000,0.9502,0.8858,0.9253,0.8393,0.8802,0.2634,1.8174,0.0673,0.5855,0.3222,Large,10,2.0,9,8,Linear_ReLU_50%,Synthetic (SF),0.44976339826125233,0.2634,0.0673,0.44976339826125233,0.8048207510352322,0.8901391827245484,0.7136355981874808,0.7622,4.6075,0.3771
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_0_18_nodes_full_data.csv,3,16,0,20000,0.9979,0.9764,0.9758,0.9769,0.9764,0.2051,0.6601,0.0032,0.3982,0.6032,Large,20,0.0,0,18,Linear_ReLU_50%,Synthetic (SF),0.3399,0.2051,0.0032,0.3399,0.8676539249962927,0.9788849624871011,0.7833790316371531,,,
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_1_18_nodes_full_data.csv,3,16,0,20000,0.9714,0.9033,0.9001,0.9074,0.9037,0.2687,1.7268,0.0364,0.6385,0.3697,Large,20,0.0,1,18,Linear_ReLU_50%,Synthetic (SF),0.42089413944869114,0.2687,0.0364,0.42089413944869114,0.8202165434810167,0.9132379539272187,0.7281634901988657,,,
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_2_18_nodes_full_data.csv,3,16,0,20000,0.8791,0.7913,0.7736,0.8235,0.7978,0.5544,0.3145,0.4136,0.2544,0.8088,Large,20,0.0,2,18,Linear_ReLU_50%,Synthetic (SF),0.6855,0.5544,0.4136,0.6855,0.6516426066389652,0.8103257399512706,0.45126074915572156,,,
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_3_18_nodes_full_data.csv,3,16,0,20000,0.9218,0.8415,0.8548,0.8228,0.8385,0.0358,0.9283,0.0166,0.4634,0.4992,Large,20,0.0,3,18,Linear_ReLU_50%,Synthetic (SF),0.07169999999999999,0.0358,0.0166,0.07169999999999999,0.881340994351077,0.8525120492352909,0.9530377136331533,,,
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_4_18_nodes_full_data.csv,3,16,0,20000,0.8731,0.7898,0.8179,0.7456,0.7801,0.1941,0.6488,0.067,0.3586,0.5527,Large,20,0.0,4,18,Linear_ReLU_50%,Synthetic (SF),0.35119999999999996,0.1941,0.067,0.35119999999999996,0.7883322804538204,0.797910759745608,0.773985402427278,,,
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_5_18_nodes_full_data.csv,3,16,0,20000,0.9806,0.9291,0.9347,0.9226,0.9286,0.6067,4.1857,0.156,0.7972,0.1905,Large,20,0.0,5,18,Linear_ReLU_50%,Synthetic (SF),0.7610913347827125,0.6067,0.156,0.7610913347827125,0.6986840305150054,0.935813272122165,0.49372419436694587,,,
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_6_18_nodes_full_data.csv,3,16,0,20000,0.9575,0.8937,0.8886,0.9002,0.8944,0.4539,0.3811,0.0472,0.2795,0.7334,Large,20,0.0,6,18,Linear_ReLU_50%,Synthetic (SF),0.6189,0.4539,0.0472,0.6189,0.7453781723804587,0.9037980116329446,0.6018678856383045,,,
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_7_18_nodes_full_data.csv,3,16,0,20000,0.8952,0.8131,0.8027,0.8301,0.8162,0.2739,0.5812,0.1597,0.38,0.6538,Large,20,0.0,7,18,Linear_ReLU_50%,Synthetic (SF),0.41879999999999995,0.2739,0.1597,0.41879999999999995,0.7751698725602342,0.8289114977175456,0.7046871011566341,,,
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_8_18_nodes_full_data.csv,3,16,0,20000,0.8585,0.7873,0.7907,0.7815,0.7861,0.3012,0.5331,0.1253,0.3439,0.6451,Large,20,0.0,8,18,Linear_ReLU_50%,Synthetic (SF),0.4669,0.3012,0.1253,0.4669,0.75010940668316,0.7992479579686169,0.685244489722142,,,
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_9_18_nodes_full_data.csv,3,16,0,20000,0.9834,0.9358,0.9488,0.9213,0.9348,0.1059,1.2448,0.0434,0.5384,0.4325,Large,20,0.0,9,18,Linear_ReLU_50%,Synthetic (SF),0.1966580976863752,0.1059,0.0434,0.1966580976863752,0.9084995378993719,0.9411457382068843,0.8709905898003291,,,
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_0_18_nodes_full_data.csv,3,16,10,20000,0.9782,0.927,0.9554,0.8958,0.9246,0.547,3.8018,0.2735,0.7422,0.1952,Large,20,0.5,0,18,Linear_ReLU_50%,Synthetic (SF),0.7369666999842179,0.547,0.2735,0.7369666999842179,0.701276403433549,0.9306774371547479,0.48326933198283634,0.7421,5.9946,0.3522
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_1_18_nodes_full_data.csv,3,16,10,20000,0.9681,0.9027,0.9164,0.8863,0.9011,0.5195,0.3008,0.1851,0.2235,0.743,Large,20,0.5,1,18,Linear_ReLU_50%,Synthetic (SF),0.6992,0.5195,0.1851,0.6992,0.7136419225341758,0.9107994334189456,0.5271256894659258,0.7432,0.2257,0.2857
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_2_18_nodes_full_data.csv,3,16,10,20000,0.9832,0.9266,0.9209,0.9334,0.9271,0.1076,1.2375,0.0528,0.5606,0.4531,Large,20,0.5,2,18,Linear_ReLU_50%,Synthetic (SF),0.19191919191919193,0.1076,0.0528,0.19191919191919193,0.9058787961645514,0.9344427610306784,0.8712994165554366,0.7746,0.1587,0.1321
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_3_18_nodes_full_data.csv,3,16,10,20000,0.9503,0.8772,0.8863,0.8655,0.8758,0.3952,0.4236,0.0179,0.2904,0.6856,Large,20,0.5,3,18,Linear_ReLU_50%,Synthetic (SF),0.5764,0.3952,0.0179,0.5764,0.7590266662780724,0.8873943641935813,0.6373615525854177,0.6503,4.5598,0.0715
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_4_18_nodes_full_data.csv,3,16,10,20000,0.8374,0.7684,0.7865,0.7367,0.7608,0.0966,0.813,0.0357,0.42,0.5166,Large,20,0.5,4,18,Linear_ReLU_50%,Synthetic (SF),0.18700000000000006,0.0966,0.0357,0.18700000000000006,0.8103798890341415,0.7761446884408388,0.8790413117452959,0.0979,0.8068,0.049
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_5_18_nodes_full_data.csv,3,16,10,20000,0.8853,0.8113,0.8374,0.7726,0.8037,0.3709,2.3456,0.2848,0.6466,0.2757,Large,20,0.5,5,18,Linear_ReLU_50%,Synthetic (SF),0.5736698499317872,0.3709,0.2848,0.5736698499317872,0.7146841086665007,0.8189698680071205,0.5850626725975849,0.663,0.2818,0.4148
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_6_18_nodes_full_data.csv,3,16,10,20000,0.9891,0.9448,0.9555,0.9331,0.9441,0.4796,0.3415,0.0214,0.2487,0.7282,Large,20,0.5,6,18,Linear_ReLU_50%,Synthetic (SF),0.6585,0.4796,0.0214,0.6585,0.7468485647455477,0.9497107665017935,0.587319876608492,0.7012,0.012,0.2671
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_7_18_nodes_full_data.csv,3,16,10,20000,0.9813,0.9252,0.9169,0.9352,0.9259,0.4557,2.6191,0.0104,0.7372,0.2815,Large,20,0.5,7,18,Linear_ReLU_50%,Synthetic (SF),0.6181894543927303,0.4557,0.0104,0.6181894543927303,0.7549459548949328,0.9331470691179057,0.6081828290195781,0.8329,7.9119,0.2948
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_8_18_nodes_full_data.csv,3,16,10,20000,0.9922,0.9559,0.9653,0.9459,0.9555,0.408,0.4121,0.0085,0.286,0.694,Large,20,0.5,8,18,Linear_ReLU_50%,Synthetic (SF),0.5879,0.408,0.0085,0.5879,0.7745519297314909,0.9598448414435243,0.6314421610629508,0.7842,6.9919,0.2099
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_9_18_nodes_full_data.csv,3,16,10,20000,0.9717,0.9125,0.9104,0.9149,0.9127,0.5206,0.3172,0.0099,0.2419,0.7625,Large,20,0.5,9,18,Linear_ReLU_50%,Synthetic (SF),0.6828000000000001,0.5206,0.0099,0.6828000000000001,0.7294257713836088,0.9211279791772594,0.57142060534256,0.7997,0.1304,0.2915
